meta_ID,meta_yearID,meta_teamID,meta_franchID,ctx_mlb_rpg,ctx_era_1,ctx_era_2,ctx_era_3,ctx_era_4,ctx_era_5,ctx_era_6,ctx_era_7,ctx_era_8,ctx_decade_1910,ctx_decade_1920,ctx_decade_1930,ctx_decade_1940,ctx_decade_1950,ctx_decade_1960,ctx_decade_1970,ctx_decade_1980,ctx_decade_1990,ctx_decade_2000,ctx_decade_2010,raw_R,raw_RA,raw_AB,raw_H,raw_2B,raw_3B,raw_HR,raw_BB,raw_SO,raw_SB,raw_ER,raw_CG,raw_SHO,raw_SV,raw_IPouts,raw_HA,raw_HRA,raw_BBA,raw_SOA,raw_E,raw_DP,season_G,core_R_pg,core_RA_pg,core_RDiff_pg,core_Pythag_win_pct,core_R_adj,core_RA_adj,core_RDiff_adj,bat_AVG,bat_OBP_approx,bat_SLG,bat_OPS_approx,bat_ISO,bat_HR_per_AB,bat_BB_rate_approx,bat_SO_rate_approx,bat_XBH_per_H,bat_SB_per_onbase_approx,pitch_ERA,pitch_WHIP,pitch_K_BB,pitch_K9,pitch_BB9,pitch_H9,pitch_HR9,pitch_CG_pg,pitch_SHO_pg,pitch_SV_pg,field_FP,field_E_pg,field_DP_pg,target_W,target_W_pct
317,1935,BOS,BOS,4.86468952734013,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,718,732,5288,1458,281,63,69,609,470.0,91,619,82,6,11,4128,1520,67,520,470,190,136.0,154.0,4.662337662337662,4.753246753246753,-0.09090909090909091,0.49116616202578717,0.9584039507834515,0.9770914929992848,-0.018687542215833318,0.2757186081694402,0.350517212141767,0.3918305597579425,0.7423477718997096,0.1161119515885023,0.013048411497730712,0.10327285060200102,0.07970154315753773,0.2832647462277092,0.0440251572327044,4.05,1.4825581395348837,0.9038461538461539,3.074127906976744,3.4011627906976747,9.941860465116278,0.43822674418604657,0.5324675324675324,0.03896103896103896,0.07142857142857142,0.969,1.2337662337662338,0.8831168831168831,78.0,0.5064935064935064
2162,1993,TEX,TEX,4.597620096959012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,835,751,5510,1472,284,39,181,483,984.0,113,684,20,6,45,4314,1476,144,562,957,130,145.0,162.0,5.154320987654321,4.635802469135802,0.5185185185185185,0.5483553217957496,1.1210845783155345,1.008304812353253,0.1127797659622813,0.2671506352087114,0.3262139162356082,0.43139745916515426,0.7576113754007625,0.16424682395644286,0.03284936479128857,0.08059402636409144,0.16419155681628567,0.3423913043478261,0.05780051150895141,4.28,1.4172461752433936,1.7028469750889679,5.989568845618916,3.517385257301808,9.237830319888735,0.9012517385257302,0.12345679012345678,0.037037037037037035,0.2777777777777778,0.979,0.8024691358024691,0.8950617283950617,86.0,0.5308641975308642
1895,2016,SEA,SEA,4.477759472817134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,768,707,5583,1446,251,17,223,506,1288.0,56,647,2,8,49,4371,1410,213,460,1318,89,158.0,162.0,4.7407407407407405,4.364197530864198,0.3765432098765432,0.5377900688400974,1.058730548060938,0.9746386685925562,0.0840918794683818,0.25900053734551315,0.3205780916406635,0.42987641053197206,0.7504545021726355,0.17087587318645892,0.039942683145262406,0.08310067334537691,0.21152898669732303,0.33955739972337484,0.028688524590163935,4.0,1.283459162663006,2.865217391304348,8.141386410432396,2.841455044612217,8.70967741935484,1.3157172271791353,0.012345679012345678,0.04938271604938271,0.30246913580246915,0.985,0.5493827160493827,0.9753086419753086,86.0,0.5308641975308642
428,1938,CHN,CHC,4.902046147148455,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,713,598,5333,1435,242,70,65,522,476.0,49,523,67,16,18,4188,1414,71,454,583,135,151.0,154.0,4.62987012987013,3.883116883116883,0.7467532467532467,0.579782334522453,0.9444770593527254,0.7921420497797051,0.1523350095730202,0.2690793174573411,0.3342442356959863,0.37727357959872493,0.7115178152947113,0.10819426214138383,0.012188261766360398,0.08915456874466268,0.08129803586678053,0.2627177700348432,0.025038323965252938,3.37,1.33810888252149,1.2841409691629957,3.7585959885386817,2.9269340974212037,9.116045845272208,0.4577363896848138,0.43506493506493504,0.1038961038961039,0.11688311688311688,0.978,0.8766233766233766,0.9805194805194806,89.0,0.577922077922078
375,1996,BOS,BOS,5.0355094838994265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,928,921,5756,1631,308,31,209,642,1020.0,91,810,17,5,37,4374,1606,185,722,1165,135,152.0,162.0,5.728395061728395,5.685185185185185,0.043209876543209874,0.5034639957407439,1.1375998953123623,1.1290188616192733,0.008581033693088939,0.2833564975677554,0.3552672710221944,0.45656706045865186,0.8118343314808463,0.17321056289089648,0.03630993745656706,0.10034385745545484,0.1594248202563301,0.3359901900674433,0.04003519577650682,5.0,1.5967078189300412,1.613573407202216,7.191358024691358,4.45679012345679,9.913580246913579,1.1419753086419753,0.10493827160493827,0.030864197530864196,0.22839506172839505,0.978,0.8333333333333334,0.9382716049382716,85.0,0.5246913580246914
106,1939,BSN,ATL,4.823720552396425,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,572,659,5286,1395,199,39,56,366,494.0,41,560,68,11,15,4074,1400,63,513,430,181,178.0,152.0,3.763157894736842,4.3355263157894735,-0.5723684210526315,0.43558503132201215,0.780135966389534,0.8987930102285016,-0.11865704383896758,0.26390465380249717,0.31157112526539277,0.34808929247067727,0.6596604177360701,0.0841846386681801,0.010594021944759743,0.06475583864118896,0.08740268931351734,0.210752688172043,0.02328222600795003,3.71,1.4086892488954346,0.8382066276803118,2.8497790868924886,3.3998527245949925,9.278350515463917,0.4175257731958763,0.4473684210526316,0.07236842105263158,0.09868421052631579,0.971,1.1907894736842106,1.1710526315789473,63.0,0.4144736842105263
1398,1915,NYA,NYY,3.792771084337349,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,584,588,4982,1162,167,50,31,570,669.0,198,470,101,12,2,4146,1272,41,517,559,215,118.0,154.0,3.792207792207792,3.8181818181818183,-0.025974025974025976,0.49687716158696804,0.9998514826977343,1.006699780524431,-0.0068482978266968106,0.2332396627860297,0.31195965417867433,0.3054997992773986,0.6174594534560729,0.07226013649136892,0.006222400642312324,0.1026657060518732,0.1204971181556196,0.2134251290877797,0.11431870669745958,3.06,1.2945007235890014,1.081237911025145,3.640376266280753,3.366859623733719,8.283646888567294,0.2670043415340087,0.6558441558441559,0.07792207792207792,0.012987012987012988,0.966,1.396103896103896,0.7662337662337663,69.0,0.44805194805194803
122,1955,ML1,ATL,4.485008103727715,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,743,668,5277,1377,219,55,182,504,735.0,42,592,61,5,12,4149,1339,138,591,654,152,155.0,154.0,4.824675324675325,4.337662337662338,0.487012987012987,0.5485283548667925,1.0757339146534195,0.9671470457449317,0.10858686890848784,0.2609437180216032,0.3253762324857291,0.42675762743983325,0.7521338599255624,0.16581390941823004,0.03448929315899185,0.08718214841722885,0.12714063310845874,0.3311546840958606,0.022328548644338118,3.85,1.3955169920462762,1.1065989847715736,4.2559652928416485,3.8459869848156183,8.713665943600867,0.8980477223427332,0.3961038961038961,0.032467532467532464,0.07792207792207792,0.975,0.987012987012987,1.0064935064935066,85.0,0.551948051948052
174,2010,ATL,ATL,4.384362139917696,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,738,629,5463,1411,312,25,139,634,1140.0,63,569,2,9,41,4318,1326,126,505,1241,126,166.0,162.0,4.555555555555555,3.882716049382716,0.6728395061728395,0.5725975403416169,1.039046367561479,0.8855828796696075,0.15346348789187156,0.2582829946915614,0.3354108577989175,0.40087863811092805,0.7362894959098456,0.14259564341936665,0.025443895295625116,0.10398556667213384,0.18697720190257502,0.3373493975903614,0.03080684596577017,3.56,1.2721167207040298,2.4574257425742574,7.75984251968504,3.1577119036591017,8.291338582677165,0.7878647522000927,0.012345679012345678,0.05555555555555555,0.25308641975308643,0.98,0.7777777777777778,1.0246913580246915,91.0,0.5617283950617284
1321,2003,MIN,MIN,4.72798353909465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,801,758,5655,1567,318,45,155,512,1027.0,94,716,7,8,45,4386,1526,187,402,997,87,114.0,162.0,4.944444444444445,4.679012345679013,0.2654320987654321,0.5252223075695754,1.0457829227957178,0.9896422665157979,0.05614065627991993,0.2770999115826702,0.337116912599319,0.43147656940760387,0.7685934820069229,0.15437665782493365,0.027409372236958444,0.0830225393221988,0.1665315388357386,0.3305679642629228,0.04521404521404521,4.41,1.3187414500683994,2.4800995024875623,6.137482900136799,2.4746922024623803,9.393980848153214,1.1511627906976745,0.043209876543209874,0.04938271604938271,0.2777777777777778,0.985,0.5370370370370371,0.7037037037037037,90.0,0.5555555555555556
