model,feature_set,variant,n_clusters,base_n_features,total_n_features,mae_mean,mae_std,seconds,fold_1_mae,fold_2_mae,fold_3_mae,fold_4_mae,fold_5_mae
elasticnet,all_domain_raw,baseline,,72,72,2.72779208964668,0.08907978962386064,2.925980255007744,2.747170298063864,2.709313661320068,2.801956767507949,2.566483163638954,2.814036557702567
elasticnet,all_domain_raw,cluster_k8,8.0,72,80,2.7343710829157697,0.09239676691324727,4.260960701853037,2.742134033955622,2.7083266611357404,2.813840380890152,2.5738543211463143,2.833700017451021
elasticnet,all_domain_raw,cluster_k6,6.0,72,78,2.734618765819718,0.09421025625970197,4.0010412987321615,2.7507786218281445,2.708911839367228,2.8142434672102206,2.56793583794931,2.8312240627436878
elasticnet,all_domain_raw,cluster_k4,4.0,72,76,2.7350515414099337,0.09418424990110383,3.8849918711930513,2.7467195887413998,2.7076536315388067,2.8260193744535473,2.570229857480011,2.824635254835902
hgb,all_domain_raw,cluster_k4,4.0,72,76,3.064433719721467,0.05964671171219127,5.059481807053089,3.0882266941918495,2.9614354430808425,3.145735134278453,3.064330018536438,3.0624413085197513
hgb,all_domain_raw,baseline,,72,72,3.07020159494786,0.06573773666867212,3.9977799151092768,3.097878393878693,2.9543154449225537,3.156074332317017,3.0671992759743896,3.075540527646649
hgb,all_domain_raw,cluster_k8,8.0,72,80,3.0764154145595173,0.05958031813184382,7.582799412310123,3.105720945127911,2.9700121896493856,3.15051472496075,3.083972997208073,3.071856215851466
hgb,all_domain_raw,cluster_k6,6.0,72,78,3.0789246118454088,0.06723926451518566,5.335119869560003,3.0944647003429515,2.966655195501186,3.177407703737669,3.0726062211573453,3.083489238487892
ridge,all_domain_raw,baseline,,72,72,2.72929986349373,0.10187332410672476,0.2847449332475662,2.730181156571772,2.7248735283616754,2.811181023482594,2.545049580158698,2.8352140288939105
ridge,all_domain_raw,cluster_k8,8.0,72,80,2.737869286636136,0.08500959889375638,1.7399292420595884,2.7041069775881423,2.7309718168318056,2.8146818088917667,2.6006459113729825,2.8389399184959836
ridge,all_domain_raw,cluster_k4,4.0,72,76,2.740896451154197,0.0960032308174255,1.6580953355878592,2.7114285895220456,2.7275207965118273,2.8502060088570085,2.583408869369084,2.831917991511021
ridge,all_domain_raw,cluster_k6,6.0,72,78,2.742784062473639,0.0877657677701428,1.6600192952901125,2.7201448111590674,2.7353709190014617,2.8270643175594743,2.594481915587592,2.8368583490606
