column,train,prediction,train_pct,prediction_pct
yearID,0,0,0.0,0.0
teamID,0,0,0.0,0.0
G,0,0,0.0,0.0
R,0,0,0.0,0.0
AB,0,0,0.0,0.0
H,0,0,0.0,0.0
2B,0,0,0.0,0.0
3B,0,0,0.0,0.0
HR,0,0,0.0,0.0
BB,0,0,0.0,0.0
SO,0,0,0.0,0.0
SB,0,0,0.0,0.0
RA,0,0,0.0,0.0
ER,0,0,0.0,0.0
ERA,0,0,0.0,0.0
CG,0,0,0.0,0.0
SHO,0,0,0.0,0.0
SV,0,0,0.0,0.0
IPouts,0,0,0.0,0.0
HA,0,0,0.0,0.0
HRA,0,0,0.0,0.0
BBA,0,0,0.0,0.0
SOA,0,0,0.0,0.0
E,0,0,0.0,0.0
DP,0,0,0.0,0.0
FP,0,0,0.0,0.0
mlb_rpg,0,0,0.0,0.0
era_1,0,0,0.0,0.0
era_2,0,0,0.0,0.0
era_3,0,0,0.0,0.0
era_4,0,0,0.0,0.0
era_5,0,0,0.0,0.0
era_6,0,0,0.0,0.0
era_7,0,0,0.0,0.0
era_8,0,0,0.0,0.0
decade_1910,0,0,0.0,0.0
decade_1920,0,0,0.0,0.0
decade_1930,0,0,0.0,0.0
decade_1940,0,0,0.0,0.0
decade_1950,0,0,0.0,0.0
decade_1960,0,0,0.0,0.0
decade_1970,0,0,0.0,0.0
decade_1980,0,0,0.0,0.0
decade_1990,0,0,0.0,0.0
decade_2000,0,0,0.0,0.0
decade_2010,0,0,0.0,0.0
W,0,0,0.0,0.0
ID,0,0,0.0,0.0
year_label,0,0,0.0,0.0
decade_label,0,0,0.0,0.0
win_bins,0,0,0.0,0.0
franchID,0,0,0.0,0.0
