configuration,anchor_model,partner_model,anchor_weight,partner_weight,float_oof_mae,rounded_oof_mae,float_chrono_mae,rounded_chrono_mae
elasticnet_0.55__ridge_0.45,elasticnet,ridge,0.55,0.45,2.724361840739786,2.708057395143488,2.3687213893137886,2.355679702048417
elasticnet_0.50__ridge_0.50,elasticnet,ridge,0.5,0.5,2.7243815921100745,2.7097130242825607,2.3677741753836874,2.361266294227188
elasticnet_0.60__ridge_0.40,elasticnet,ridge,0.6,0.4,2.7243908024492693,2.706953642384106,2.369684780449422,2.346368715083799
elasticnet_0.45__ridge_0.55,elasticnet,ridge,0.44999999999999996,0.55,2.7244807860836535,2.7135761589403975,2.3668269614535844,2.366852886405959
elasticnet_0.65__ridge_0.35,elasticnet,ridge,0.65,0.35,2.724504641172054,2.70916114790287,2.370696863980693,2.350093109869646
elasticnet_0.40__ridge_0.60,elasticnet,ridge,0.4,0.6,2.724676482503898,2.7102649006622515,2.365879747523482,2.37243947858473
elasticnet_0.70__ridge_0.30,elasticnet,ridge,0.7,0.3,2.724680765928704,2.707505518763797,2.3717659759276177,2.350093109869646
elasticnet_0.75__ridge_0.25,elasticnet,ridge,0.75,0.25,2.7249430842486757,2.706401766004415,2.372919842567934,2.357541899441341
elasticnet_0.35__ridge_0.65,elasticnet,ridge,0.35,0.65,2.72500861373867,2.7108167770419427,2.365113669113433,2.37243947858473
elasticnet_0.80__ridge_0.20,elasticnet,ridge,0.8,0.2,2.7253086656876735,2.707505518763797,2.374139346413336,2.357541899441341
elasticnet_0.30__ridge_0.70,elasticnet,ridge,0.30000000000000004,0.7,2.7254315150346424,2.7163355408388523,2.364453508470118,2.37243947858473
elasticnet_0.85__ridge_0.15,elasticnet,ridge,0.85,0.15,2.7257889243738007,2.704194260485651,2.3753588502587393,2.359404096834264
elasticnet_0.25__ridge_0.75,elasticnet,ridge,0.25,0.75,2.7259054846680812,2.715783664459161,2.3638954292562184,2.37243947858473
elasticnet_0.95__hgb_0.05,elasticnet,hgb,0.95,0.05,2.725921435375705,2.7058498896247243,2.3880819272583764,2.374301675977654
elasticnet_0.90__hgb_0.10,elasticnet,hgb,0.9,0.1,2.726057731611863,2.716887417218543,2.3976675200123907,2.387337057728119
elasticnet_0.90__ridge_0.10,elasticnet,ridge,0.9,0.1,2.7262814349341262,2.7030905077262695,2.3765783541041414,2.361266294227188
elasticnet_0.20__ridge_0.80,elasticnet,ridge,0.19999999999999996,0.8,2.726383377629564,2.7190949227373067,2.363374257977838,2.368715083798883
elasticnet_0.95__ridge_0.05,elasticnet,ridge,0.95,0.05,2.7268438227868055,2.705298013245033,2.3778914717180486,2.366852886405959
elasticnet_0.15__ridge_0.85,elasticnet,ridge,0.15000000000000002,0.85,2.72693054108198,2.716887417218543,2.3629594493294737,2.359404096834264
elasticnet_0.95__lightgbm_0.05,elasticnet,lightgbm,0.95,0.05,2.7274950806346254,2.7047461368653423,2.3898507608782906,2.3854748603351954
elasticnet,elasticnet,,1.0,0.0,2.727524845489334,2.708057395143488,2.3792544805146147,2.374301675977654
elasticnet_0.10__ridge_0.90,elasticnet,ridge,0.09999999999999998,0.9,2.7275882054104565,2.716887417218543,2.3626210019806217,2.359404096834264
elasticnet_0.85__hgb_0.15,elasticnet,hgb,0.85,0.15,2.7279357056367584,2.719646799116998,2.4096771510155697,2.4059590316573556
elasticnet_0.90__lightgbm_0.10,elasticnet,lightgbm,0.9,0.1,2.7292343680309794,2.7113686534216335,2.400943496375967,2.398510242085661
elasticnet_0.80__hgb_0.20,elasticnet,hgb,0.8,0.2,2.7319399632984256,2.7213024282560707,2.425342975204289,2.4283054003724396
elasticnet_0.85__lightgbm_0.15,elasticnet,lightgbm,0.85,0.15,2.7333501617168032,2.7229580573951435,2.413007246203525,2.4078212290502794
elasticnet_0.75__hgb_0.25,elasticnet,hgb,0.75,0.25,2.73808608708329,2.727924944812362,2.4440659536534577,2.445065176908752
elasticnet_0.80__lightgbm_0.20,elasticnet,lightgbm,0.8,0.2,2.739823029594707,2.7201986754966887,2.4267190813003072,2.4208566108007448
elasticnet_0.70__hgb_0.30,elasticnet,hgb,0.7,0.3,2.7462753522631833,2.727373068432671,2.465347131920923,2.456238361266294
elasticnet_0.75__lightgbm_0.25,elasticnet,lightgbm,0.75,0.25,2.7487548962524877,2.740618101545254,2.4426781645669915,2.430167597765363
elasticnet_0.70__lightgbm_0.30,elasticnet,lightgbm,0.7,0.3,2.7598728663584806,2.752759381898455,2.461097573331081,2.446927374301676
