model,feature_set,n_features,mae_mean,mae_std,seconds,fold_1_mae,fold_2_mae,fold_3_mae,fold_4_mae,fold_5_mae
elasticnet,all_domain_raw,72,2.72779208964668,0.08907978962386064,2.8877960070967674,2.747170298063864,2.709313661320068,2.801956767507949,2.566483163638954,2.814036557702567
ridge,all_domain_raw,72,2.72929986349373,0.10187332410672476,0.2665148191154003,2.730181156571772,2.7248735283616754,2.811181023482594,2.545049580158698,2.8352140288939105
elasticnet,raw,22,2.8447516503015584,0.08302537758747626,1.2986559141427279,2.7998206121767923,2.773470099749119,2.9707902312653505,2.7642337269775212,2.915443581339011
ridge,raw,22,2.847848519208265,0.08430309377989664,0.1422104798257351,2.7979399084534595,2.7806397592297936,2.972833456135193,2.76368074237606,2.9241487298468196
ridge,all_domain,51,2.8596141012956866,0.09124946199773465,0.21367277577519417,2.897372304363295,2.842000108381612,2.9672251189757346,2.6953483489272654,2.8961246258305273
elasticnet,all_domain,51,2.865055734856574,0.09713529897695876,1.7487570438534021,2.914032887728046,2.84691747942372,2.973901037006601,2.688336518438341,2.9020907516861634
elasticnet,core_bat_pitch_field,31,2.8683955847628377,0.09909592149022371,1.4635717254132032,2.8691412653615185,2.8411506479501183,2.9889051226520835,2.7001146210958398,2.9426662667546273
ridge,core_bat_pitch_field,31,2.869939914964278,0.09748116258025585,0.16040137596428394,2.8626120976969798,2.843659092346603,2.993762078415882,2.707855936023866,2.941810370338062
elasticnet,core_bat_pitch,28,2.8815518865089493,0.10357538402688067,1.3694763761013746,2.8917682033374703,2.8666560217702197,3.000125053701635,2.6966059230990465,2.952604230636375
ridge,core_bat_pitch,28,2.8829541705958723,0.11732571292206484,0.1528342179954052,2.8864269710343633,2.8502496010577176,3.0284292430424786,2.6837195927569666,2.965945445087833
ridge,core_pitch,18,2.9149194207817333,0.1181600463097013,0.14096710458397865,2.9085404806050708,2.9176776188618363,3.0953111722088367,2.72262168071485,2.9304461515180726
elasticnet,core_pitch,18,2.915875777159872,0.11365918831278858,1.260010302066803,2.9203450704041685,2.9318252357440953,3.0794828120782882,2.72233040459953,2.9253953629732776
hgb,all_domain_raw,72,3.07020159494786,0.06573773666867212,3.8042930476367474,3.097878393878693,2.9543154449225537,3.156074332317017,3.0671992759743896,3.075540527646649
hgb,core_pitch,18,3.07241341841425,0.07662233197234533,4.072314264252782,3.113865868748753,2.9947029520445003,3.1599700567034157,2.9673419840117568,3.1261862305628236
hgb,core_bat_pitch_field,31,3.0796095363517666,0.09158730204257572,3.1169678531587124,3.159958341056893,2.9546120063693704,3.1784069774160155,2.9868317520392,3.1182386048773534
hgb,core_bat_pitch,28,3.079906973370856,0.08334310814474304,3.629392037168145,3.182658326991019,3.008348496730026,3.1773031787439288,2.990133860266373,3.041091004122935
hgb,all_domain,51,3.0808582960382047,0.08867618904233884,3.7661315016448498,3.1486041026885445,2.9847814187696584,3.2111540608536195,2.9891225068102325,3.070629391068967
lightgbm,core_pitch,18,3.115859697062548,0.05174259116091781,1.538916815072298,3.137293230826423,3.096299242519983,3.09722638682291,3.046596982811553,3.201882642331871
lightgbm,all_domain_raw,72,3.1207628269287886,0.0471309034570157,2.5300641171634197,3.1195666431649753,3.0688451243748647,3.076455391133284,3.1403090769560476,3.198637899014773
lightgbm,core_bat_pitch_field,31,3.1278746434568245,0.024442717961856385,1.8681371919810772,3.147417486793102,3.134969291297036,3.125114681995193,3.082303379783074,3.1495683774157164
lightgbm,all_domain,51,3.137111361033527,0.027676459361002492,2.0007195081561804,3.142746496203438,3.12553836602263,3.1051704998519845,3.1250134400455143,3.1870880030440696
lightgbm,core_bat_pitch,28,3.138134113647673,0.015625409195292476,2.6886135563254356,3.1652176017275813,3.13713890198363,3.136717218513487,3.1163138257360843,3.1352830202775834
random_forest,core_pitch,18,3.153770677876458,0.05980355549005416,3.3195004407316446,3.1833695079721878,3.096245857106891,3.1542065813609095,3.0859096921596922,3.2491217507826105
